WEEK,COUNT,DEATHDT,MONTH,YRSEAS,JAN1,FLUA,FLUB,RSVPOS,PCTA,PCTB,WEEKOFYRS
98,3749,1994-07-17,7,1994,0,0,0,0,0,0,46
99,3714,1994-07-24,7,1994,0,0,0,0,0,0,47
100,3649,1994-07-31,7,1994,0,0,0,0,0,0,48
101,3563,1994-08-07,8,1994,0,0,0,0,0,0,49
102,3563,1994-08-14,8,1994,0,0,0,0,0,0,50
103,3584,1994-08-21,8,1994,0,0,0,0,0,0,51
104,3665,1994-08-28,8,1994,0,0,0,0,0,0,52
105,3738,1994-09-04,9,1995,0,0,0,0,0,0,1
106,3906,1994-09-11,9,1995,0,0,0,0,0,0,2
107,3674,1994-09-18,9,1995,0,0,0,3,0,0,3
108,3769,1994-09-25,9,1995,0,0,0,0,0,0,4
109,3786,1994-10-02,10,1995,0,0,0,3,0,0,5
110,3883,1994-10-09,10,1995,0,0,0,1,0,0,6
111,3940,1994-10-16,10,1995,0,0,0,1,0,0,7
112,3936,1994-10-23,10,1995,0,0,0,24,0,0,8
113,4069,1994-10-30,10,1995,0,0,0,19,0,0,9
114,3966,1994-11-06,11,1995,0,0,1,37,0,0.0044,10
115,3884,1994-11-13,11,1995,0,0,1,46,0,0.0031,11
116,3954,1994-11-20,11,1995,0,0,0,53,0,0,12
117,3966,1994-11-27,11,1995,0,0,0,76,0,0,13
118,4137,1994-12-04,12,1995,0,0,0,140,0,0,14
119,4108,1994-12-11,12,1995,0,0,0,201,0,0,15
120,4135,1994-12-18,12,1995,0,0,0,180,0,0,16
121,4127,1994-12-25,12,1995,0,1,2,228,0.0027,0.0054,17
122,4414,1995-01-01,1,1995,1,0,1,277,0,0.0016,18
123,4451,1995-01-08,1,1995,0,0,3,249,0,0.0044,19
124,4231,1995-01-15,1,1995,0,8,4,257,0.0136,0.0068,20
125,4064,1995-01-22,1,1995,0,8,11,234,0.0098,0.0135,21
126,4161,1995-01-29,1,1995,0,48,12,292,0.0576,0.0144,22
127,4417,1995-02-05,2,1995,0,26,9,229,0.0267,0.0092,23
128,4486,1995-02-12,2,1995,0,32,14,231,0.0398,0.0174,24
129,4487,1995-02-19,2,1995,0,45,15,257,0.0465,0.0155,25
130,4632,1995-02-26,2,1995,0,61,27,248,0.0513,0.0227,26
131,4526,1995-03-05,3,1995,0,109,25,233,0.086,0.0197,27
132,4404,1995-03-12,3,1995,0,89,45,231,0.075,0.0379,28
133,4207,1995-03-19,3,1995,0,86,40,256,0.086,0.04,29
134,4235,1995-03-26,3,1995,0,45,22,203,0.0557,0.0272,30
135,4067,1995-04-02,4,1995,0,34,41,199,0.0413,0.0498,31
136,4243,1995-04-09,4,1995,0,26,36,131,0.0333,0.0461,32
137,4152,1995-04-16,4,1995,0,8,20,134,0.0136,0.034,33
138,4075,1995-04-23,4,1995,0,10,21,100,0.0177,0.0372,34
139,4074,1995-04-30,4,1995,0,14,23,70,0.0214,0.0352,35
140,4148,1995-05-07,5,1995,0,15,7,65,0.0317,0.0148,36
141,3958,1995-05-14,5,1995,0,4,4,63,0.0076,0.0076,37
142,3992,1995-05-21,5,1995,0,5,3,42,0.0136,0.0081,38
143,3880,1995-05-28,5,1995,0,3,2,23,0.013,0.0087,39
144,3723,1995-06-04,6,1995,0,0,0,24,0,0,40
145,3821,1995-06-11,6,1995,0,2,0,23,0.0082,0,41
146,3941,1995-06-18,6,1995,0,0,0,8,0,0,42
147,3823,1995-06-25,6,1995,0,0,0,8,0,0,43
148,3851,1995-07-02,7,1995,0,0,0,9,0,0,44
149,3862,1995-07-09,7,1995,0,0,0,5,0,0,45
150,3677,1995-07-16,7,1995,0,0,0,6,0,0,46
151,3728,1995-07-23,7,1995,0,0,0,4,0,0,47
152,3726,1995-07-30,7,1995,0,0,0,2,0,0,48
153,3800,1995-08-06,8,1995,0,1,0,3,0.009,0,49
154,3748,1995-08-13,8,1995,0,0,0,2,0,0,50
155,3573,1995-08-20,8,1995,0,0,0,4,0,0,51
156,3675,1995-08-27,8,1995,0,1,0,5,0.0088,0,52
157,3604,1995-09-03,9,1996,0,1,0,6,0.0061,0,1
158,3744,1995-09-10,9,1996,0,0,0,5,0,0,2
159,3804,1995-09-17,9,1996,0,0,0,10,0,0,3
160,3831,1995-09-24,9,1996,0,0,0,9,0,0,4
161,3832,1995-10-01,10,1996,0,0,0,8,0,0,5
162,4039,1995-10-08,10,1996,0,0,0,11,0,0,6
163,3833,1995-10-15,10,1996,0,1,0,13,0.0033,0,7
164,3922,1995-10-22,10,1996,0,1,0,11,0.0032,0,8
165,3977,1995-10-29,10,1996,0,1,0,17,0.0035,0,9
166,3998,1995-11-05,11,1996,0,3,0,16,0.0089,0,10
167,3968,1995-11-12,11,1996,0,10,0,19,0.0321,0,11
168,4046,1995-11-19,11,1996,0,35,0,26,0.0726,0,12
169,4138,1995-11-26,11,1996,0,49,0,34,0.114,0,13
170,4069,1995-12-03,12,1996,0,79,0,51,0.1455,0,14
171,4209,1995-12-10,12,1996,0,97,0,60,0.1823,0,15
172,4242,1995-12-17,12,1996,0,96,1,60,0.1702,0.0018,16
173,4309,1995-12-24,12,1996,0,68,1,83,0.1878,0.0028,17
174,4458,1995-12-31,12,1996,1,33,1,124,0.0652,0.002,18
175,4548,1996-01-07,1,1996,0,42,0,124,0.0584,0,19
176,4439,1996-01-14,1,1996,0,42,3,118,0.0711,0.0051,20
177,4179,1996-01-21,1,1996,0,28,0,153,0.0479,0,21
178,4201,1996-01-28,1,1996,0,36,4,180,0.0563,0.0063,22
179,4440,1996-02-04,2,1996,0,43,1,223,0.0625,0.0015,23
180,4315,1996-02-11,2,1996,0,70,3,284,0.1001,0.0043,24
181,4230,1996-02-18,2,1996,0,59,4,305,0.0843,0.0057,25
182,4182,1996-02-25,2,1996,0,73,12,338,0.0758,0.0125,26
183,4163,1996-03-03,3,1996,0,47,9,328,0.0504,0.0097,27
184,4119,1996-03-10,3,1996,0,40,4,315,0.0448,0.0045,28
185,4228,1996-03-17,3,1996,0,35,10,324,0.0408,0.0117,29
186,4155,1996-03-24,3,1996,0,29,21,234,0.0362,0.0262,30
187,4321,1996-03-31,3,1996,0,24,24,176,0.0471,0.0471,31
188,4080,1996-04-07,4,1996,0,6,14,140,0.0108,0.0251,32
189,4140,1996-04-14,4,1996,0,11,25,141,0.022,0.05,33
190,3962,1996-04-21,4,1996,0,6,13,107,0.0121,0.0263,34
191,3911,1996-04-28,4,1996,0,10,13,100,0.0202,0.0262,35
192,3992,1996-05-05,5,1996,0,4,5,65,0.011,0.0137,36
193,3963,1996-05-12,5,1996,0,4,4,49,0.0117,0.0117,37
194,3945,1996-05-19,5,1996,0,2,4,33,0.0062,0.0124,38
195,3870,1996-05-26,5,1996,0,2,4,20,0.0066,0.0132,39
196,3901,1996-06-02,6,1996,0,0,2,13,0,0.0088,40
197,3785,1996-06-09,6,1996,0,2,0,13,0.0108,0,41
198,3723,1996-06-16,6,1996,0,1,0,12,0.0051,0,42
199,3786,1996-06-23,6,1996,0,0,0,6,0,0,43
200,3843,1996-06-30,6,1996,0,0,1,3,0,0.007,44
201,3782,1996-07-07,7,1996,0,0,0,4,0,0,45
202,3869,1996-07-14,7,1996,0,0,0,1,0,0,46
203,3744,1996-07-21,7,1996,0,0,0,1,0,0,47
204,3689,1996-07-28,7,1996,0,0,0,3,0,0,48
205,3849,1996-08-04,8,1996,0,0,0,2,0,0,49
206,3797,1996-08-11,8,1996,0,12,0,2,0.1034,0,50
207,3760,1996-08-18,8,1996,0,0,0,3,0,0,51
208,3733,1996-08-25,8,1996,0,0,0,0,0,0,52
209,3784,1996-09-01,9,1997,0,0,0,5,0,0,1
210,3714,1996-09-08,9,1997,0,0,0,9,0,0,2
